entry_date,entry_zscore,direction,position_size,beta,token_oz,futures_contracts,futures_oz,entry_mid_a,entry_mid_b,entry_spread_a,entry_spread_b,entry_impact_a,entry_impact_b,entry_token_notional,entry_futures_notional,entry_volume_a,entry_volume_b,entry_side_a,entry_side_b,entry_price_a,entry_price_b,entry_slippage_a,entry_slippage_b,entry_exec_cost_a,entry_exec_cost_b,entry_fees,exit_date,exit_zscore,exit_mid_a,exit_mid_b,exit_spread_a,exit_spread_b,exit_impact_a,exit_impact_b,exit_token_notional,exit_futures_notional,exit_volume_a,exit_volume_b,exit_beta,exit_side_a,exit_side_b,exit_price_a,exit_price_b,exit_slippage_a,exit_slippage_b,exit_exec_cost_a,exit_exec_cost_b,holding_period,pnl_a,pnl_b,net_pnl,total_slippage,exit_fees,total_fees,total_costs,net_pnl_after_costs,entry_value,return_pct,total_execution_cost,execution_cost_bps,fees_bps
2020-03-12,3.452174245861012,short,1.0,1.0,30.0,3,30,1632.6500244140625,1589.300048828125,1.2250933042203385,0.10208824844132355,0.9795901339358479,0.9547519042968751,48979.500732421875,47679.00146484375,41060075462.94763,4068608.125,sell,buy,1631.0578876280165,1590.3058448566426,1.5921367860460123,1.0057960285175795,47.76410358138037,30.173880855527386,53.4317366288405,2020-03-17,-1.4701604107103652,1506.808349609375,1524.9000244140625,10.417007588340004,0.2647445836256451,0.9040992254844191,0.9173990310418801,45204.25048828125,45747.000732421875,317987793.25146484,1860378.0297851562,1.0,buy,sell,1512.9209526290294,1523.8502530912078,6.112603019654443,1.0497713228546672,183.3780905896333,31.493139685640017,5,3544.1080499696113,-1993.6677529630424,1550.440297006569,292.8092147121811,49.88762857887089,103.31936520771139,103.31936520771139,1447.1209317988576,48979.500732421875,2.954544064678346,292.8092147121811,59.78199253434951,21.094409633154825
2020-04-09,-2.7220707559642676,long,1.0,1.0,30.0,3,30,1672.2393798828125,1736.199951171875,1.7932405123218218,0.7031276811997539,1.003356528935966,1.0420836070667614,50167.181396484375,52085.99853515625,388862545.3979492,14323649.597167969,buy,sell,1674.1393566679094,1734.8063037242082,1.8999767850968965,1.3936474476668081,56.999303552906895,41.809423430004244,54.72418070003728,2020-04-24,0.4662119153304655,1734.6575927734375,1723.5,4.711520771292189,0.6477497776469442,1.0407963149637205,1.0354574660633484,52039.727783203125,51705.0,2957979758.979492,3808935.0,1.0,sell,buy,1731.2610360728277,1724.8593323548866,3.3965567006098354,1.3593323548866465,101.89670101829506,40.779970646599395,15,1713.650382147548,298.40914107964636,2012.0595232271944,241.4853986478056,56.43783108218483,111.16201178222211,111.16201178222211,1900.8975114449722,50167.181396484375,3.7891255967156723,241.4853986478056,48.13613041946352,22.158313201548957
2020-06-30,-2.027790608502895,long,1.0,1.0,30.0,3,30,1776.6971435546875,1793.0,0.0,0.12886944546830278,1.0660519350179127,1.0761042596348884,53300.914306640625,53790.0,158403210.53076172,17678980.0,buy,sell,1777.7631954897054,1791.859461017631,1.0660519350178674,1.1405389823689802,31.981558050536023,34.216169471069406,57.83289586469117,2020-07-09,0.26422927425236903,1796.0194091796875,1799.199951171875,0.580446584307712,0.24201730783253514,1.0776389783673763,1.0802775464607008,53880.582275390625,53975.99853515625,197127498.31274414,7124831.806640625,1.0,sell,buy,1794.6515469091664,1800.401237372252,1.3678622705210728,1.2012862003768987,41.035868115632184,36.03858601130696,9,506.6505425838318,-256.25329063862637,250.39725194520543,143.27218164854457,58.33954640727499,116.17244227196616,116.17244227196616,134.22480967323926,53300.914306640625,0.2518245914151543,143.27218164854457,26.87987317146165,21.795581517349795
2020-08-05,-2.8171618661460274,long,1.0,1.0,30.0,3,30,1997.2939453125,2031.0999755859375,1.9854464468519866,0.18238706187067216,1.1983778449486722,1.2188709558156976,59918.818359375,60932.999267578125,4054702443.7910156,28882241.65283203,buy,sell,1999.4850463808748,2029.7899110991866,2.191101068374792,1.310064486750889,65.73303205124375,39.30193460252667,64.48455139142624,2020-08-10,0.36653995686431895,2013.984130859375,2024.4000244140625,0.0,0.10420224264560284,1.2083949769816482,1.2159275682965063,60419.52392578125,60732.000732421875,1343113932.965332,4716852.056884766,1.0,sell,buy,2012.7757358823933,2025.6680531036818,1.2083949769817082,1.2680286896193138,36.251849309451245,38.040860688579414,5,398.720685045555,123.65573986514391,522.3764249106989,179.32767665180108,64.8832720764718,129.36782346789803,129.36782346789803,393.0086014428009,59918.818359375,0.655901788793053,179.32767665180108,29.92844010645333,21.590516470466568
2020-08-20,2.219576449446576,short,1.0,1.0,30.0,3,30,1955.01318359375,1933.800048828125,2.382141321934861,0.29330242891254305,1.1730251836006325,1.1631102179761204,58650.3955078125,58014.00146484375,339540824.6870117,2049828.0517578125,sell,buy,1952.649087749182,1935.1098102605574,2.3640958445680553,1.309761432432424,70.92287533704166,39.29284297297272,63.07947263247546,2020-09-08,-2.6943547366609595,1900.406982421875,1933.0,0.9208763890851895,0.0,1.1402515323697804,1.1609070110701107,57012.20947265625,57990.0,776424575.517334,5238430.0,1.0,buy,sell,1902.0076721487874,1931.83909298893,1.6006897269123783,1.160907011070094,48.02069180737135,34.82721033210282,19,1519.242468011837,-98.12151814882554,1421.1209498630114,193.06362044948855,61.560230164463626,124.63970279693908,124.63970279693908,1296.4812470660725,58650.3955078125,2.2105243039552485,193.06362044948855,32.917701368914315,21.251297918414977
2020-10-06,-2.1399672162863848,long,1.0,1.0,30.0,3,30,1876.963623046875,1901.0999755859375,0.5252321586158764,0.0,1.1267492760554239,1.1409699027069344,56308.90869140625,57032.999267578125,9859689.911865234,18402647.763671875,buy,sell,1878.3529884022385,1899.9590056832305,1.3893653553634522,1.1409699027069564,41.680960660903565,34.22909708120869,60.85058965206715,2020-10-08,0.32851958038749757,1887.031005859375,1888.5999755859375,4.0133492278418474,0.3705574860755852,1.132704512164799,1.1340220543170798,56610.93017578125,56657.999267578125,11650529.430175781,6572327.9150390625,1.0,sell,buy,1883.8916267332893,1889.9192763832923,3.1393791260857142,1.3193007973547992,94.18137378257143,39.57902392064398,2,166.159149931525,301.19187899814733,467.35102892967234,209.67045544532766,61.01674880199868,121.86733845406583,121.86733845406583,345.4836904756065,56308.90869140625,0.6135506769789938,209.67045544532766,37.23575191172674,21.64263902217394
2020-10-28,2.047445458336015,short,1.0,1.0,30.0,3,30,1885.8529052734375,1876.199951171875,0.8235015636861882,0.14267143540950541,1.1315425908587116,1.1268030031940997,56575.587158203125,56285.99853515625,183402966.74365234,5197073.864746094,sell,buy,1884.3096119007357,1877.3980898927737,1.5432933727017826,1.198138720898669,46.29880118105348,35.94416162696007,61.029288357022075,2020-11-10,-0.0860087613291547,1872.2158203125,1875.4000244140625,0.025498267476412727,0.0,1.1233434433398652,1.1263269711701767,56166.474609375,56262.000732421875,402593801.13671875,5176104.0673828125,1.0,buy,sell,1873.351912889578,1874.2736974428924,1.1360925770779886,1.1263269711701014,34.08277731233966,33.78980913510304,13,328.73097033473186,-93.73177349643811,234.99919683829376,150.11554925545624,60.700557386687336,121.7298457437094,121.7298457437094,113.26935109458435,56575.587158203125,0.20020888299019796,150.11554925545624,26.533626391836815,21.516320352684012
2020-11-11,2.31983590170121,short,1.0,1.0,30.0,3,30,1882.02197265625,1860.699951171875,10.351160056237227,1.3157908608019278,1.1292180738084303,1.1177713220544765,56460.6591796875,55820.99853515625,1154564019.5654297,4130753.8916015625,sell,buy,1875.7171745543228,1862.4756179243304,6.30479810192719,1.775666752455436,189.1439430578157,53.27000257366308,60.77151523662968,2020-11-17,-0.7371748822340767,1881.03125,1884.5,0.187329440350031,0.03701085988320749,1.1286276058532763,1.135784745762712,56430.9375,56535.0,637216265.21875,1111855.0,1.0,buy,sell,1882.2535423260283,1883.3457098242957,1.2222923260283096,1.1542901757043182,36.66876978084929,34.62870527112955,6,-196.091033151165,626.1027569989574,430.0117238477924,313.7114206834576,60.96760626978085,121.73912150641053,121.73912150641053,308.27260234138186,56460.6591796875,0.5459954007272504,313.7114206834576,55.5628335271579,21.561760573671776
2020-11-27,2.240521210882055,short,1.0,1.0,30.0,3,30,1816.2906494140625,1781.9000244140625,3.344199339188543,0.33403677177957153,1.0897951886057164,1.0691441926886582,54488.719482421875,53457.000732421875,261978130.69018555,1279475493.5302734,sell,buy,1813.5287545558626,1783.136186992641,2.7618948581998666,1.2361625785783872,82.856845745996,37.084877357351616,58.90586263667588,2020-11-30,-0.17250487413462212,1785.12548828125,1775.699951171875,0.49545604489016365,0.0,1.0710919592650545,1.0655153602102791,53553.7646484375,53270.99853515625,321329728.3925781,55845763.46435547,1.0,buy,sell,1786.44430826296,1774.6344358116646,1.3188199817100212,1.0655153602103837,39.56459945130064,31.965460806311512,3,812.5333887870784,-255.05253542928813,557.4808533577902,191.47178336095976,58.0933292478888,116.99919188456468,116.99919188456468,440.4816614732256,54488.719482421875,0.808390554333591,191.47178336095976,35.139710600600324,21.472185985634837
2020-12-21,2.1033865778293124,short,1.0,1.0,30.0,3,30,1921.31201171875,1879.199951171875,4.218341914653604,0.1954793721651964,1.1527955560886416,1.1297258530560663,57639.3603515625,56375.99853515625,690369674.6748047,2555711.93359375,sell,buy,1918.0500452053345,1880.4274167110136,3.261966513415473,1.2274655391386204,97.85899540246419,36.82396617415861,62.04150135616003,2020-12-22,-0.4223926162131944,1879.27880859375,1866.5999755859375,0.0,0.0,1.1275844028748006,1.1212475389996313,56378.3642578125,55997.999267578125,329356766.15771484,4349177.943115234,1.0,buy,sell,1880.4063929966248,1865.478728046938,1.1275844028748452,1.1212475389995689,33.827532086245355,33.637426169987066,1,1129.3095662612905,-448.4606599222707,680.8489063390198,202.14791983285522,60.91219178989875,122.95369314605878,122.95369314605878,557.895213192961,57639.3603515625,0.967906669661433,202.14791983285522,35.07115946462361,21.331550592532857
